link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/takeover-oversized-t-shirt-2/,Takeover Oversized T-Shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/dont-duck-with-me-oversized-t-shirt-2/,Don’t Duck With Me Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/sorted-oversized-t-shirt-2/,Sorted Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/problem-child-oversized-t-shirt-2/,Problem Child Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/u-bonkerosaurus-oversized-tshirt/,Bonkerosaurus Oversized T-Shirt,₹999.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/black-utility-straight-fit-pant/,Black Utility Straight Fit Pant,₹1999.00,"₹1,299.00",60% cotton 40% Polyester,320,
https://www.bonkerscorner.com/product/styles-faded-effect-oversized-t-shirt/,Styles Faded Effect Oversized T-Shirt,₹1099.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/navy-blue-signature-oversized-t-shirt/,Navy Blue Signature Oversized  T-shirt,₹999.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/ruby-stripes-heavyweight-oversized-t-shirt/,Ruby Stripes Heavyweight Oversized T-shirt,₹899.00,₹599.00,100% Cotton,210,
https://www.bonkerscorner.com/product/blue-fallen-kings-oversized-t-shirt-2/,Blue Fallen Kings Oversized T-shirt,₹949.00,₹649.00,100% cotton,180,
https://www.bonkerscorner.com/product/fins-clan-oversized-t-shirt-2/,Fins Clan Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/blue-ruffle-it-up-oversized-t-shirt/,Blue Ruffle It Up Oversized T-shirt,₹949.00,₹649.00,100% premium cotton,180,
